rho,n,n_valid,n_censored,censor_frac,T_grok,eff_grok,eff_floor,drop,T_compress,gap,rel_gap,comp_rate,amp_invalid_frac,no_grok_file,boundary
1.05,6,6,0,0,10000,47.4782,11.9307,34.6722,36500,22000,3.11429,0.0015530467,0,0,0
1.10,6,6,0,0,7000,47.8912,10.8524,37.3757,31000,24000,2.90909,0.0016062129,0,0,0
1.15,6,6,0,0,15000,35.3169,8.08848,26.6352,28000,14500,1.06696,0.0020917611,0,0,0
1.20,6,6,0,0,16500,25.1845,6.85716,18.0559,33500,17000,0.9375,0.0012768475,0,0,0
1.25,6,6,0,0,17000,19.2922,5.91848,13.7622,32500,15500,0.911765,0.00091858718,0,0,0
1.30,6,6,0,0,17500,15.2882,5.11604,10.5531,37500,18500,0.981793,0.00053439634,0,0,0
1.35,6,6,0,0,17000,12.5268,4.80671,7.64442,32500,16500,1.03725,0.00049108513,0,0,0
