rho,n,n_valid,n_censored,censor_frac,T_grok,eff_grok,eff_floor,drop,T_compress,gap,rel_gap,comp_rate,amp_invalid_frac,no_grok_file,boundary
1.00,6,6,0,0,10000,46.0362,42.0972,4.33889,51000,40500,3.85909,0.0001124668,0,0,1
1.05,6,6,0,0,9000,47.9764,11.8093,36.3111,43500,30500,2.70139,0.0012397013,0,0,0
1.10,6,6,0,0,6500,50.0827,11.0103,39.0305,31500,24500,3.52381,0.0016245178,0,0,0
1.15,6,6,0,0,14500,40.0122,9.0022,30.7673,30000,15000,1.03846,0.0020624861,0,0,0
1.20,6,6,0,0,18500,27.4042,7.5049,19.8,31500,13500,0.798611,0.001510146,0,0,0
1.25,6,6,0,0,18500,19.8775,6.54549,13.4944,33000,14500,0.828431,0.00094523421,0,0,0
1.30,6,6,0,0,18500,16.1326,5.70159,10.3933,35000,17000,0.968254,0.00062329333,0,0,0
1.35,6,6,0,0,18500,12.5139,5.03356,7.62223,37000,19000,1.02381,0.00041764549,0,0,0
1.40,6,6,0,0,18500,10.4487,4.33019,6.19799,38000,19000,0.947368,0.00029897708,0,0,0
